,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
8052,6082974478,"12:00, 11 marca 2021",46002.0,Opel,Astra,Nie podano,K (2015-),1598.0,110.0,38060,Kombi,Polska,Manualna,Diesel,2016,5.0,5.0,Czarny,Używane
8053,6082686142,"12:00, 11 marca 2021",75900.0,Opel,Insignia,2.0 CDTI 4x4 Innovation S&S,B (2017-),1956.0,170.0,110000,Kombi,Niemcy,Manualna,Diesel,2017,5.0,5.0,Biały,Używane
8054,6082974463,"11:59, 11 marca 2021",70000.0,MINI,Countryman,Nie podano,Nie podano,1598.0,190.0,64886,SUV,Polska,Automatyczna,Benzyna,2015,5.0,5.0,Niebieski,Używane
8055,6081399761,"11:59, 11 marca 2021",164400.0,Mazda,CX-5,2.0 Skypassion AWD,Nie podano,1998.0,165.0,5,SUV,Polska,Manualna,Benzyna,2021,5.0,5.0,Czerwony,Nowe
8056,6082710231,"11:59, 11 marca 2021",22900.0,Hyundai,ix20,1.4 Comfort,Nie podano,1396.0,90.0,161000,Minivan,Niemcy,Manualna,Benzyna+LPG,2011,5.0,5.0,Czarny,Używane
8057,6082974416,"11:58, 11 marca 2021",45000.0,Opel,Astra,Nie podano,K (2015-),1598.0,136.0,107295,Kombi,Polska,Manualna,Diesel,2017,5.0,5.0,Czarny,Używane
8058,6081417337,"11:58, 11 marca 2021",109000.0,Mazda,CX-30,2.0 Kai 2WD,Nie podano,1998.0,122.0,5,SUV,Polska,Manualna,Benzyna,2021,5.0,5.0,Czerwony,Używane
8059,6082974378,"11:57, 11 marca 2021",50000.0,Peugeot,2008,Nie podano,Nie podano,1199.0,110.0,55474,SUV,Polska,Manualna,Benzyna,2017,5.0,5.0,Biały,Używane
8060,6083154650,"11:57, 11 marca 2021",7800.0,SsangYong,Kyron,200 Xdi Comfort,Nie podano,1998.0,141.0,239651,SUV,Irlandia,Manualna,Diesel,2007,5.0,5.0,Srebrny,Używane
8061,6082809695,"11:56, 11 marca 2021",24400.0,Peugeot,5008,Nie podano,I (2009-2017),1560.0,114.0,240000,Minivan,Francja,Automatyczna,Diesel,2013,5.0,7.0,Szary,Używane
8062,6079228000,"11:56, 11 marca 2021",15900.0,Fiat,Bravo,1.4 T-Jet 16V Emotion,II (2007-),1368.0,120.0,178700,Kompakt,Nie podano,Manualna,Benzyna+LPG,2008,5.0,5.0,Inny kolor,Używane
8063,6082015357,"11:55, 11 marca 2021",29900.0,Škoda,Fabia,1.0 Active,III (2014-),999.0,75.0,73200,Auta miejskie,Polska,Manualna,Benzyna+LPG,2017,5.0,5.0,Niebieski,Używane
8064,6082974203,"11:55, 11 marca 2021",40002.0,Opel,Insignia,Nie podano,A (2008-2017),1956.0,170.0,89399,Kompakt,Polska,Manualna,Diesel,2015,5.0,5.0,Brązowy,Używane
8065,6081520802,"11:54, 11 marca 2021",80500.0,Seat,Arona,1.0 TSI Full LED Start&Stop,Nie podano,999.0,110.0,10,SUV,Nie podano,Manualna,Benzyna,2020,5.0,5.0,Szary,Nowe
8066,6083154812,"11:54, 11 marca 2021",49000.0,Audi,A6,3.0 TDI Quattro Tiptronic,C6 (2004-2011),2967.0,240.0,203500,Sedan,Nie podano,Automatyczna,Diesel,2010,4.0,5.0,Czarny,Używane
8067,6082974186,"11:54, 11 marca 2021",31002.0,Opel,Astra,Nie podano,J (2009-2015),1362.0,140.0,160237,Kompakt,Polska,Manualna,Benzyna+LPG,2015,5.0,5.0,Czarny,Używane
8068,6082770100,"11:53, 11 marca 2021",105000.0,Toyota,RAV4,Hybrid Prestige 4x4,IV (2012-2018),2494.0,155.0,85126,SUV,Polska,Automatyczna,Hybryda,2016,5.0,5.0,Biały,Używane
